id,district,area,lat,lng,accidents,casualties,serious,children,elderly,night,commute,pm,weatherRisk,speedLimit,schoolZone,roadType,signalDensity,trafficVolume,note
OLD-DJ-001,동구,동구 원동(중앙시장삼거리 부근),36.329066178876,127.433170853915,6,6,6,0,6,0.3507,0.32,1,0.38,30,0,전통시장,0.9,0.95,"KOROAD 노인 보행자 사고다발지역 원자료 기반. 동구 원동(중앙시장삼거리 부근)은 고령 보행자 피해가 집중된 지점이므로 보행 속도, 시장/역 접근성, 보호시간 확대를 함께 봅니다."
OLD-DJ-002,동구,동구 중동(대전역네거리 부근),36.331329183243,127.432837914889,5,5,5,0,5,0.3507,0.43,1,0.36,50,0,역세권,0.95,0.86,"KOROAD 노인 보행자 사고다발지역 원자료 기반. 동구 중동(대전역네거리 부근)은 고령 보행자 피해가 집중된 지점이므로 보행 속도, 시장/역 접근성, 보호시간 확대를 함께 봅니다."
OLD-DJ-003,중구,중구 대흥동(대흥교 부근),36.325637443644,127.432238245177,5,5,5,0,5,0.3451,0.36,1,0.33,50,0,도시도로,0.7,0.81,"KOROAD 노인 보행자 사고다발지역 원자료 기반. 중구 대흥동(대흥교 부근)은 고령 보행자 피해가 집중된 지점이므로 보행 속도, 시장/역 접근성, 보호시간 확대를 함께 봅니다."
OLD-DJ-004,서구,서구 도마동(도마네거리 부근),36.313682426368,127.379936770867,6,6,6,0,6,0.4071,0.4,2,0.33,50,0,교차로,0.9,0.9,"KOROAD 노인 보행자 사고다발지역 원자료 기반. 서구 도마동(도마네거리 부근)은 고령 보행자 피해가 집중된 지점이므로 보행 속도, 시장/역 접근성, 보호시간 확대를 함께 봅니다."
OLD-DJ-005,서구,서구 정림동(무지개종합시장 부근),36.305814865630,127.365752772459,5,5,5,0,5,0.4071,0.32,2,0.38,30,0,전통시장,0.7,0.86,"KOROAD 노인 보행자 사고다발지역 원자료 기반. 서구 정림동(무지개종합시장 부근)은 고령 보행자 피해가 집중된 지점이므로 보행 속도, 시장/역 접근성, 보호시간 확대를 함께 봅니다."
OLD-DJ-006,대덕구,대덕구 석봉동(신탄진시장 부근),36.450019244078,127.425881331348,5,5,5,0,5,0.321,0.32,1,0.38,30,0,전통시장,0.7,0.86,"KOROAD 노인 보행자 사고다발지역 원자료 기반. 대덕구 석봉동(신탄진시장 부근)은 고령 보행자 피해가 집중된 지점이므로 보행 속도, 시장/역 접근성, 보호시간 확대를 함께 봅니다."
