id,district,area,lat,lng,accidents,casualties,serious,children,elderly,night,commute,pm,weatherRisk,speedLimit,schoolZone,roadType,signalDensity,trafficVolume,note
SCH-DJ-001,동구,동구 가양동(대전흥룡초등학교 부근),36.344226561324,127.448938154025,2,2,0,2,0,0.3507,0.64,1,0.28,30,1,스쿨존,0.67,0.73,KOROAD 어린이보호구역 사고다발지역 원자료 기반. 동구 가양동(대전흥룡초등학교 부근)은 사고 건수보다 어린이 노출과 등하교 시간대 관리가 핵심 해석 기준입니다.
SCH-DJ-002,중구,중구 유천동(성심유치원 부근),36.319745729897,127.399963691253,3,3,0,3,0,0.3451,0.58,1,0.28,30,1,스쿨존,0.72,0.9,KOROAD 어린이보호구역 사고다발지역 원자료 기반. 중구 유천동(성심유치원 부근)은 사고 건수보다 어린이 노출과 등하교 시간대 관리가 핵심 해석 기준입니다.
SCH-DJ-003,서구,서구 둔산동(대전문정초등학교 부근),36.351705878584,127.395214026146,2,2,1,2,0,0.4071,0.64,2,0.28,30,1,스쿨존,0.67,0.73,KOROAD 어린이보호구역 사고다발지역 원자료 기반. 서구 둔산동(대전문정초등학교 부근)은 사고 건수보다 어린이 노출과 등하교 시간대 관리가 핵심 해석 기준입니다.
SCH-DJ-004,서구,서구 도안동(대전도안초등학교 부근),36.321381876959,127.344904027929,2,2,0,2,0,0.4071,0.64,2,0.28,30,1,스쿨존,0.67,0.73,KOROAD 어린이보호구역 사고다발지역 원자료 기반. 서구 도안동(대전도안초등학교 부근)은 사고 건수보다 어린이 노출과 등하교 시간대 관리가 핵심 해석 기준입니다.
